Law_Firm,Wins,Losses,Win_Rate,Neutral_Appearances,Appellant_Appearances,Respondent_Appearances,Law_Firm(from_text)
bhatt murphy,6,13,31.58,1,16,3,"['bhatt murphy solicitors' 'bhatt murphy' 'bhatt murphy limited'
 'bhatt murphy ltd']"
bhd solicitors,1,0,100.0,0,1,0,['bhd solicitors']
bhogal partners,0,1,0.0,0,0,1,['bhogal partners']
bht eastbourne advice,0,1,0.0,0,0,1,['bht eastbourne advice']
bi-borough legal services,2,1,66.67,0,0,3,['bi-borough legal services' 'tri-borough legal services']
billy hughes & co solicitors,0,1,0.0,0,0,1,['billy hughes & co solicitors']
bindmans,11,21,34.38,1,24,8,['bindmans llp' 'bindmans' 'bindmans solicitors' 'bindmans - pro bono']
bingham mansfield solicitors,1,0,100.0,0,1,0,['bingham mansfield solicitors']
birchall blackburn law,1,0,100.0,0,0,1,['birchall blackburn law']
bircham dyson bell,3,2,60.0,1,1,4,['bircham dyson bell llp' 'bircham dyson bell']
bird & bird,19,19,50.0,0,15,23,['bird & bird llp' 'bird & bird']
bird & lovibond,0,1,0.0,0,1,0,['bird & lovibond']
bird wilford & sale solicitors,0,1,0.0,0,1,0,['bird wilford & sale solicitors']
birdy & co,0,1,0.0,0,1,0,['birdy & co']
birketts llp,5,5,50.0,0,6,4,['birketts llp']
birmingham & solihull mental health nhs foundation trust  legal department,3,10,23.08,0,4,9,"['birmingham city council legal & governance department'
 'birmingham legal' 'birmingham city council'
 'birmingham community law centre'
 'birmingham city council legal services'
 'birmingham & solihull mental health nhs foundation trust \x96 legal department'
 'birmingham cc' 'birmingham city council legal']"
birnberg peirce,5,13,27.78,0,14,4,"['birnberg peirce' 'birnberg peirce ltd' 'birnberg peirce solicitors'
 'birnberg peirce & partners']"
bishop & co,0,1,0.0,0,1,0,['bishop & co']
bishop & sewell llp,0,2,0.0,0,0,2,['bishop & sewell llp']
bison solicitors,0,1,0.0,0,0,1,['bison solicitors']
blackbird solicitors limited,0,1,0.0,0,1,0,['blackbird solicitors limited']
blackburn & co,0,1,0.0,0,1,0,['blackburn & co']
blacklion law llp,2,0,100.0,0,0,2,['blacklion law llp']
blacks solicitors llp,0,1,0.0,0,1,0,['blacks solicitors llp']
blake morgan,13,10,56.52,0,9,14,['blake morgan llp' 'blake morgan']
blake turner,1,1,50.0,0,0,2,['blake-turner llp' 'blake turner']
blandy,0,2,0.0,0,2,0,['blandy llp' 'blandy']
blaser mills llp,1,1,50.0,0,1,1,['blaser mills llp']
blavo & co solicitors,0,1,0.0,0,0,1,['blavo & co solicitors']
blm,17,12,58.62,1,17,12,['blm law' 'blm llp' 'blm' 'blm solicitors' 'blm law llp']
blythe,1,0,100.0,0,0,1,['blythe']
bma legal department,0,0,,1,0,0,['bma legal department']
bmw group uk & ireland,0,1,0.0,0,0,1,['bmw group uk & ireland']
"boardman, hawkins & osborne llp",2,1,66.67,0,2,1,"['boardman, hawkins & osborne llp']"
bockius uk llp,2,0,100.0,0,0,2,['bockius uk llp']
boies schiller flexner (uk) llp,2,2,50.0,0,1,3,"['boies schiller flexner (uk) llp' 'boies, schiller & flexner (uk) llp']"
bolt burdon,5,6,45.45,0,5,6,['bolt burdon kemp' 'bolt burdon kemp for yxa' 'bolt burdon']
bolt burdon solicitors,1,0,100.0,0,0,1,['bolt burdon solicitors']
bonallack & bishop,0,1,0.0,0,1,0,['bonallack & bishop']
bond adams llp,0,1,0.0,0,0,1,['bond adams llp']
bond dickinson llp,0,1,0.0,0,1,0,['bond dickinson llp']
bond turner,3,1,75.0,0,3,1,['boyes turner solicitors' 'bond turner' 'bond turner solicitors']
bonelli erede lombardi pappalardo llp,0,1,0.0,0,1,0,['bonelli erede lombardi pappalardo llp']
boodle hatfield,2,2,50.0,0,1,3,['boodle hatfield llp' 'boodle hatfield']
bookers & bolton solicitors,1,0,100.0,0,0,1,['bookers & bolton solicitors']
boon limited,1,0,100.0,0,0,1,['boon limited']
bosworth borough council,1,0,100.0,0,0,1,['bosworth borough council']
bott & co solicitors,0,1,0.0,0,1,0,['bott & co solicitors']
bournemouth borough council,0,1,0.0,0,0,1,['bournemouth borough council']
bower,0,3,0.0,0,2,1,['bower cotton hamilton llp' 'bower']
bowling & co,1,0,100.0,0,1,0,['bowling & co']
bowser ollard & bentley ltd,0,1,0.0,0,1,0,['bowser ollard & bentley ltd']
boyes turner llp,1,2,33.33,0,1,2,['boyes turner llp']
boys & maugham,1,0,100.0,0,1,0,['boys & maugham']
bpe solicitors,0,1,0.0,0,1,0,['bpe solicitors']
bpl solicitors ltd,1,0,100.0,0,1,0,['bpl solicitors ltd']
bps law llp,0,1,0.0,0,0,1,['bps law llp']
brabners llp,2,2,50.0,0,2,2,['brabners llp']
brachers llp,0,1,0.0,0,1,0,['brachers llp']
bradford mdc city solicitor,1,0,100.0,0,0,1,['bradford mdc city solicitor']
bradley & jefferies,0,1,0.0,0,0,1,['bradley & jefferies']
brahams dutt badrick french llp,1,1,50.0,0,1,1,['brahams dutt badrick french llp']
brain chase coles solicitors,0,1,0.0,0,1,0,['brain chase coles solicitors']
braithwaite llp,0,1,0.0,0,0,1,['braithwaite llp']
bramhall solicitors,0,1,0.0,0,1,0,['bramhall solicitors']
branch austin mccormick llp,0,0,,1,0,0,['branch austin mccormick llp']
brandsmiths,4,6,40.0,0,10,0,['brandsmiths']
breakwells,1,0,100.0,0,1,0,['breakwells']
brecher llp,1,2,33.33,0,2,1,['brecher llp']
brecher solicitors,0,1,0.0,0,0,1,['brecher solicitors']
breens solicitors,0,1,0.0,0,1,0,['breens solicitors']
breeze,0,1,0.0,0,0,1,['breeze']
brendan fleming solicitors,0,1,0.0,0,0,1,['brendan fleming solicitors']
brent council,1,3,25.0,0,3,1,"['brent lbc legal services' 'brent council legal department'
 'brent council']"
brethertons llp,0,1,0.0,0,0,1,['brethertons llp']
brethertons solicitors,0,1,0.0,0,0,1,['brethertons solicitors']
brett wilson llp,2,1,66.67,0,2,1,['brett wilson llp' 'messrs brett wilson llp']
brian harris & co,1,1,50.0,0,1,1,['brian harris & co' 'brian harris & co solicitors']
brian mckenna & co,1,0,100.0,0,0,1,['brian mckenna & co']
bridge mcfarland solicitors,0,1,0.0,0,0,1,['bridge mcfarland solicitors']
bridger law,0,1,0.0,0,0,1,['bridger law']
briffa solicitors,0,1,0.0,0,1,0,['briffa solicitors']
brighton,1,1,50.0,0,0,2,['brighton & hove city council' 'brighton']
brightstone law,1,0,100.0,0,0,1,['brightstone law']
bristol city council legal department,0,1,0.0,0,0,1,['bristol city council legal department']
bristol law centre,1,0,100.0,0,1,0,['bristol law centre']
bristow llp,9,12,42.86,0,12,9,['bristows llp' 'bristows' 'bristow llp']
britton,1,0,100.0,0,1,0,['britton']
broadfield law uk llp,0,1,0.0,0,1,0,['broadfield law uk llp']
